datetime,h_title,a_title,book_odds_h,book_odds_d,book_odds_a,prediction,outcome,odds,won,profit
2025-10-03,Bournemouth,Fulham,1.985,3.366,5.02,H,H,1.985,True,0.9850000000000001
2025-10-04,Leeds,Tottenham,1.667,3.798,7.315,H,A,1.667,False,-1.0
2025-10-04,Arsenal,West Ham,1.127,11.223,42.918,H,H,1.127,True,0.127
2025-10-04,Manchester United,Sunderland,1.465,4.838,9.033,H,H,1.465,True,0.4650000000000001
2025-10-04,Chelsea,Liverpool,6.238,3.915,1.711,A,H,1.711,False,-1.0
2025-10-05,Aston Villa,Burnley,1.423,4.613,12.453,H,H,1.423,True,0.42300000000000004
2025-10-05,Everton,Crystal Palace,2.76,3.779,2.68,H,H,2.76,True,1.7599999999999998
2025-10-05,Newcastle United,Nottingham Forest,1.022,54.945,333.333,H,H,1.022,True,0.02200000000000002
2025-10-05,Wolverhampton Wanderers,Brighton,12.547,4.042,1.486,A,D,1.486,False,-1.0
2025-10-05,Brentford,Manchester City,4.701,2.876,2.275,A,A,2.275,True,1.275
